,FC_EMBIG,FC_EMBIG_DZ,FC_EMBIG_AO,FC_EMBIG_AR,FC_EMBIG_AM,FC_EMBIG_AZ,FC_EMBIG_BH,FC_EMBIG_BB_CTRY,FC_EMBIG_BY,FC_EMBIG_BZ,FC_EMBIG_BJ,FC_EMBIG_BO,FC_EMBIG_BR,FC_EMBIG_BG,FC_EMBIG_CM,FC_EMBIG_CL,FC_EMBIG_CN,FC_EMBIG_CO,FC_EMBIG_CR,FC_EMBIG_CI,FC_EMBIG_HR,FC_EMBIG_DO,FC_EMBIG_EC,FC_EMBIG_EG,FC_EMBIG_SV,FC_EMBIG_ET,FC_EMBIG_GA,FC_EMBIG_GE,FC_EMBIG_GH,FC_EMBIG_GR,FC_EMBIG_GT,FC_EMBIG_HN,FC_EMBIG_HU,FC_EMBIG_IN,FC_EMBIG_ID,FC_EMBIG_IQ,FC_EMBIG_JM,FC_EMBIG_JO,FC_EMBIG_KZ,FC_EMBIG_KE,FC_EMBIG_KW,FC_EMBIG_LV,FC_EMBIG_LB,FC_EMBIG_LT,FC_EMBIG_MY,FC_EMBIG_MV,FC_EMBIG_MX,FC_EMBIG_MN,FC_EMBIG_ME,FC_EMBIG_MA,FC_EMBIG_MZ,FC_EMBIG_NA,FC_EMBIG_NG,FC_EMBIG_OM,FC_EMBIG_PK,FC_EMBIG_PA,FC_EMBIG_PG,FC_EMBIG_PY,FC_EMBIG_PE,FC_EMBIG_PH,FC_EMBIG_PL,FC_EMBIG_QA,FC_EMBIG_RO,FC_EMBIG_RU,FC_EMBIG_RW,FC_EMBIG_SA,FC_EMBIG_SN,FC_EMBIG_CS,FC_EMBIG_SK,FC_EMBIG_ZA,FC_EMBIG_KR,FC_EMBIG_LK,FC_EMBIG_SR,FC_EMBIG_TJ,FC_EMBIG_TZ,FC_EMBIG_TH,FC_EMBIG_TT,FC_EMBIG_TN,FC_EMBIG_TR,FC_EMBIG_AE,FC_EMBIG_UA,FC_EMBIG_UY,FC_EMBIG_UZ,FC_EMBIG_VE,FC_EMBIG_VN,FC_EMBIG_ZM
30-Sep-94,100,0,0,18.95802933,0,0,0,0,0,0,0,0,17.58270403,3.426850199,0,0,1.596145389,0,0,0,0,0,2.146844238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.47413555,0,0,3.290407971,0,0,3.832922053,0,0,0.654942736,0,0,2.070846176,5.554321395,2.011534763,0,0,5.137745741,0,0,0,0,0,0,3.087373735,0,0,0,0,0,0,0,0,0,0,0,0,11.17519669,0,0
31-Oct-94,100,0,0,17.99262905,0,0,0,0,0,0,0,0,16.1127402,3.328573515,0,0,1.564656687,0,0,0,0,0,2.079822793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.91177506,0,0,3.173132017,0,0,3.751583386,0,0,0.623448195,0,0,1.965796868,5.355667948,6.42239128,0,0,4.292779304,0,0,0,0,0,0,3.957551327,0,0,0,0,0,0,0,0,0,0,0,0,10.46745237,0,0
30-Nov-94,100,0,0,17.70007978,0,0,0,0,0,0,0,0,16.65176105,3.278028101,0,0,1.569817802,0,0,0,0,0,1.986421987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19592711,0,0,3.143793599,0,0,4.060975439,0,0,0.598458911,0,0,1.896005773,5.382444843,6.344054403,0,0,4.104536192,0,0,0,0,0,0,3.89834264,0,0,0,0,0,0,0,0,0,0,0,0,10.18935237,0,0
30-Dec-94,100,0,0,16.9611818,0,0,0,0,0,0,0,0,16.75651567,3.391496239,0,0,1.673061581,0,0,0,0,0,1.90456679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39392222,0,0,3.190421054,0,0,4.065996238,0,0,0.618073597,0,0,1.957407114,5.652108038,6.53553972,0,0,3.873355005,0,0,0,0,0,1.418724295,4.147105073,0,0,0,0,0,0,0,0,0,0,0,0,10.46052556,0,0
31-Jan-95,100,0,0,16.82094134,0,0,0,0,0,0,0,0,16.74727161,3.076914056,0,0,1.7583369,0,0,0,0,0,1.797853656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67763434,0,0,3.290297078,0,0,3.96180084,0,0,0.569929826,0,0,2.075280772,5.798074925,6.5986389,0,0,3.315672634,0,0,0,0,0,1.499907826,4.380437315,0,0,0,0,0,0,0,0,0,0,0,0,10.63100799,0,0
28-Feb-95,100,0,0,15.52385594,0,0,0,0,0,0,0,0,16.18376294,3.167895526,0,0,1.784138448,0,0,0,0,0,2.409529528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78548069,0,0,3.090042763,0,0,4.312454451,0,0,0.555560786,0,0,1.828163206,5.766492898,6.721134567,0,0,3.471155011,0,0,0,0,0,1.575196986,5.66470184,0,0,0,0,0,0,0,0,0,0,0,0,11.16043442,0,0
31-Mar-95,100,0,0,16.50034997,0,0,0,0,0,0,0,0,15.26461411,3.089507678,0,0,1.86712799,0,0,0,0,0,3.057530461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92510603,0,0,2.99177575,0,0,4.158722844,0,0,0.497398665,0,0,1.99555913,6.003872554,6.777275242,0,0,3.45019166,0,0,0,0,0,1.570343931,5.843790831,0,0,0,0,0,0,0,0,0,0,0,0,11.00683315,0,0
28-Apr-95,100,0,0,16.56213392,0,0,0,0,0,0,0,0,15.07390275,3.294043514,0,0,1.765987508,0,0,0,0,0,3.258484921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.46540062,0,0,2.970677897,0,0,4.318735121,0,0,0.56142771,0,0,1.973352002,5.636901019,6.733393652,0,0,3.499428851,0,0,0,0,0,1.512253918,5.497589578,0,0,0,0,0,0,0,0,0,0,0,0,10.87628703,0,0
31-May-95,100,0,0,17.02178338,0,0,0,0,0,0,0,0,15.38212354,3.290309033,0,0,1.734046783,0,0,0,0,0,3.332240212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02897365,0,0,2.794635461,0,0,4.347302331,0,0,0.589928874,0,0,1.969645047,5.489455957,6.744212011,0,0,3.802689725,0,0,0,0,0,1.461992618,5.291568247,0,0,0,0,0,0,0,0,0,0,0,0,10.71909313,0,0
30-Jun-95,100,0,0,15.88191419,0,0,0,0,0,0,0,0,14.87584888,3.373835789,0,0,1.72797322,0,0,0,0,0,3.238266796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06733628,0,0,2.65905883,0,0,4.366798364,0,0,0.553489369,0,0,1.967395267,5.553127808,7.370994235,0,0,4.224444211,0,0,0,0,0,1.405992069,5.291982997,0,0,0,0,0,0,0,0,0,0,0,0,10.4415417,0,0
31-Jul-95,100,0,0,15.95842486,0,0,0,0,0,0,0,0,15.01270769,3.145606304,0,0,1.726726062,0,0,0,0,0,3.270219239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.20983959,0,0,2.668144449,0,0,4.386598802,0,0,0.570060091,0,0,2.025541423,5.692813827,7.276487289,0,0,3.754918656,0,0,0,0,0,1.423600988,5.223352134,0,0,0,0,0,0,0,0,0,0,0,0,10.65495859,0,0
31-Aug-95,100,0,0,15.87815261,0,0,0,0,0,0,0,0,15.09922016,3.221046861,0,0,1.657479445,0,0,0,0,0,3.41524093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.01261984,0,0,2.601661557,0,0,4.460400722,0,0,0.573209357,0,0,2.010774484,5.62843157,7.286214475,0,0,4.036181985,0,0,0,0,0,1.411224233,5.156474171,0,0,0,0,0,0,0,0,0,0,0,0,10.5516676,0,0
29-Sep-95,100,0,0,15.72007001,0,0,0,0,0,0,0,0,15.81390468,3.249270537,0,0,1.644042277,0,0,0,0,0,3.380340246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.20869782,0,0,2.628564524,0,0,4.563528057,0,0,0.613032292,0,0,2.129553601,5.574022709,7.3680518,0,0,4.083511108,0,0,0,0,0,1.391383199,5.097164255,0,0,0,0,0,0,0,0,0,0,0,0,10.53486289,0,0
31-Oct-95,100,0,0,15.64784174,0,0,0,0,0,0,0,0,15.28106445,3.362549114,0,0,1.707899918,0,0,0,0,0,3.55298983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93968073,0,0,2.588388707,0,0,4.676386625,0,0,0.638874802,0,0,2.231455562,5.65925922,7.337508944,0,0,4.119559445,0,0,0,0,0,1.452775132,5.258842463,0,0,0,0,0,0,0,0,0,0,0,0,10.54492331,0,0
30-Nov-95,100,0,0,16.62238371,0,0,0,0,0,0,0,0,15.18988038,3.438320236,0,0,1.70137757,0,0,0,0,0,3.803710011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.09843713,0,0,2.621280533,0,0,4.560710847,0,0,0.703510492,0,0,2.137837515,5.388816286,7.358017321,0,0,3.908700712,0,0,0,0,0,1.437548776,5.127547791,0,0,0,0,0,0,0,0,0,0,0,0,9.9019207,0,0
29-Dec-95,100,0,0,16.54965562,0,0,0,0,0,0,0,0,14.93100196,3.442279181,0,0,1.619282811,0,0,0,0,0,3.712084248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04768081,0,0,2.634270332,0,0,4.471002434,0,0,0.727626657,0,0,2.169079256,5.160963878,6.996876003,0,0,3.972716905,0,0,0,0,0,1.310065682,5.695376599,0,0,0,0,0,0,0,0,0,0,0,0,10.56003762,0,0
31-Jan-96,100,0,0,16.41042841,0,0,0,0,0,0,0,0,15.30343352,3.431353384,0,0,1.511052493,0,0,0,0,0,4.069696547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71687011,0,0,2.614461194,0,0,4.528313111,0,0,0.780833866,0,0,2.292236721,5.065965475,7.59466153,0,0,3.558061191,0,0,0,0,0,1.240951791,5.275388447,0,0,0,0,0,0,0,0,0,0,0,0,10.60629222,0,0
29-Feb-96,100,0,0,16.04605921,0,0,0,0,0,0,0,0,15.21742425,3.176430699,0,0,1.507429059,0,0,0,0,0,3.857679637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71484448,0,0,2.538543826,0,0,4.714303914,0,0,0.759403825,0,0,2.444607104,5.306791004,7.760166785,0,0,3.877706893,0,0,0,0,0,1.287653009,5.466693528,0,0,0,0,0,0,0,0,0,0,0,0,10.32426278,0,0
29-Mar-96,100,0,0,15.88111365,0,0,0,0,0,0,0,0,15.12046815,3.011747651,0,0,1.45507641,0,0,0,0,0,3.76877893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57613159,0,0,2.627249953,0,0,4.700515826,0,0,0.759271532,0,0,2.276908889,5.234390596,7.7912364,0,0,3.76439962,0,0,0,0,0,1.253501805,6.021825838,0,0,0,0,0,0,0,0,0,0,0,0,10.75738316,0,0
30-Apr-96,100,0,0,16.22727823,0,0,0,0,0,0,0,0,14.63414062,2.961415787,0,0,1.395885456,0,0,0,0,0,3.908050299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.65164122,0,0,2.681152609,0,0,4.600682409,0,0,0.815850095,0,0,2.248352883,5.149439556,7.535632314,0,0,4.312317038,0,0,0,0,0,1.2149535,5.749845483,0,0,0,0,0,0,0,0,0,0,0,0,10.9133625,0,0
31-May-96,100,0,0,15.97827315,0,0,0,0,0,0,0,0,14.75728829,3.084850111,0,0,1.383071599,0,0,0,0,0,3.845916988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42838609,0,0,2.517235819,0,0,4.586285263,0,0,0.91307848,0,0,2.351552509,5.089196106,7.390966281,0,0,4.609932376,0,0,0,0,0,1.198234783,5.586384101,0,0,0,0,0,0,0,0,0,0,0,0,11.27934805,0,0
28-Jun-96,100,0,0,15.54821452,0,0,0,0,0,0,0,0,14.63421568,3.037274428,0,0,1.351744152,0,0,0,0,0,3.817370148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99877185,0,0,2.482062072,0,0,4.48708288,0,0,0.876622098,0,0,2.390838117,4.91116756,7.309280628,0,0,4.953547517,0,0,0,0,0,1.113389583,6.469524323,0,0,0,0,0,0,0,0.699166848,0,0,0,0,10.91972759,0,0
31-Jul-96,100,0,0,14.68061068,0,0,0,0,0,0,0,0,14.26855315,2.814961195,0,0,2.265273217,0,0,0,0,0,3.790119873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49010271,0,0,2.429251312,0,0,4.228001786,0,0,2.506975981,0,0,2.414863221,4.72861531,7.133956889,0,0,5.421884626,0,0,0,0,0,1.075489175,6.209066065,0,0,0,0,0,0,0,0.667877606,0,0,0,0,10.8743972,0,0
30-Aug-96,100,0,0,14.28969754,0,0,0,0,0,0,0,0,14.18695593,2.558162945,0,0,2.12990275,0,0,0,1.733143224,0,3.529671818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37759935,0,0,2.377212758,0,0,4.335198996,0,0,2.410516962,0,0,2.393699307,4.598982329,6.949893843,0,0,5.703850921,0,0,0,0,0,1.043440475,5.949073703,0,0,0,0,0,0,0,0.646309105,0,0,0,0,10.78668804,0,0
30-Sep-96,100,0,0,14.47294194,0,0,0,0,0,0,0,0,14.32098131,2.54652812,0,0,2.080489436,0,0,0,1.679862909,0,3.734275917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.80857541,0,0,2.44318166,0,0,4.465626495,0,0,2.396343349,0,0,2.557451592,3.777670904,6.671842478,0,0,6.297888005,0,0,0,0,0,1.01357,5.795007113,0,0,0,0,0,0,0,0.627790956,0,0,0,0,11.3099724,0,0
31-Oct-96,100,0,0,13.91127727,0,0,0,0,0,0,0,0,13.06724872,2.402755735,0,0,2.033305305,0,0,0,1.65185826,0,3.923631818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.187144598,0,13.43908657,0,0,2.354889864,0,0,4.373639131,0,0,2.473963039,0,0,2.508820136,4.427493249,6.368566486,0,0,6.312012727,0,0,0,0,0,0.982455178,6.226105925,0,0,0,0,0,0,0,0.61441707,0,0,0,0,10.74132892,0,0
29-Nov-96,100,0,0,13.7596644,0,0,0,0,0,0,0,0,12.7958677,2.517939424,0,0,1.94231087,0,0,0,1.572297716,0,3.908977864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28395174,0,13.03541096,0,0,2.177624038,0,0,4.368722462,0,0,2.375734134,0,0,2.429438619,4.264034838,6.236081193,0,0,6.323648994,0,0,0,0,0,0.932894439,5.858997925,0,0,0,0,0,0,0,0.581287889,0,0,0,0,10.63511479,0,0
31-Dec-96,100,0,0,13.35089255,0,0,0,0,0,0,0,0,12.71291685,2.614454841,0,0,1.875424356,0,0,0,1.59911944,0,3.882567848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.141871851,0,12.96057328,0,0,2.209398884,0,0,4.262923332,0,0,2.419716573,0,0,2.35606223,4.181172167,6.092080874,0,0,7.186046724,0,0,0,0,0,0.881559148,6.157228328,0,0,0,0,0,0,0,0.552087724,0,0,0,0,10.563903,0,0
31-Jan-97,100,0,0,13.44672573,0,0,0,0,0,0,0,0,12.93781256,2.325261729,0,0,1.829264788,0,0,0,1.520475124,0,3.893173423,0,0,0,0,0,0,0.584001966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.067485728,0,13.08363577,0,0,2.291008459,0,0,4.212008215,0,0,2.565643389,0,0,2.304157876,4.093029522,5.982980172,0,0,6.990639341,0,0,0,0,0,0.860645912,5.919031464,0,0,0,0,0,0,0,0.541828565,0,0,0,0,10.55119027,0,0
28-Feb-97,100,0,0,13.41300762,0,0,0,0,0,0,0,0,12.83888038,2.74134151,0,0,1.757733103,0.758480932,0,0,1.471899735,0,3.630902059,0,0,0,0,0,0,0.572555873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.947573983,0,12.80284864,0,0,2.205197887,0,0,4.276860069,0,0,2.438718665,0,0,2.372819444,3.986889265,5.810480845,0,0,7.137337593,0,0,0,0,0,0.843773413,6.154121287,0,0,0,0,0,0,0,0.528813914,0,0,0,0,10.30976379,0,0
31-Mar-97,100,0,0,13.51387978,0,0,0,0,0,0,0,0,12.94587699,2.703802844,0,0,1.798365145,0.761176507,0,0,1.515071231,0,3.479658844,0,0,0,0,0,0,0.589802854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.987515908,0,12.2396323,0,0,2.310958847,0,0,4.143987182,0,0,2.901847206,0,0,2.48049497,4.048411096,5.92114328,0,0,6.956661721,0,0,0,0,0,0.873074759,6.268387516,0,0,0,0,0,0,0,0.547396462,0,0,0,0,10.01285455,0,0
30-Apr-97,100,0,0,13.64287712,0,0,0,0,0,0,0,0,12.51005106,2.950543289,0,0,1.778633019,0.761473886,0,0,1.496589442,0,3.514085018,0,0,0,0,0,0,0.581903123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.865344508,0,12.31090546,0,0,2.312019659,0,0,3.931417848,0,0,2.994348247,0,0,2.563071744,3.982412254,5.67753679,0,0,7.052358289,0,0,0,0,0,0.862386354,6.680876339,0,0,0,0,0,0,0,0.546839971,0,0,0,0,9.984326583,0,0
30-May-97,100,0,0,13.60490215,0,0,0,0,0,0,0,0,12.69009246,3.136039165,0,0,1.761137321,0.761410376,0,0,1.484621614,0,3.645624974,0,0,0,0,0,0,0.551487663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.820036609,0,12.44594758,0,0,2.245757733,0,0,3.936121569,0,0,3.033361308,0,0,2.69316455,3.878598943,4.365060779,0,0,7.261701313,0,0,0,0,0,0.85278878,6.492025063,0,0,0,0,0.630967243,0,0,0.537853517,0,0,0,0,10.1712993,0,0
30-Jun-97,100,0,0,13.4628041,0,0,0,0,0,0,0,0,12.64683419,3.286170308,0,0,1.712414867,0.754147579,0,0,1.458266136,0,3.629139302,0,0,0,0,0,0,0.542705981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.756054559,0,12.7182999,0,0,2.240630929,0,0,3.92706923,0,0,3.019728052,0,0,2.70983178,3.825045953,4.342148503,0,0,7.498063853,0,0,0,0,0,0.804361962,6.426722356,0,0,0,0,0.624112742,0,0,0.50792942,0,0,0,0,10.1075183,0,0
31-Jul-97,100,0,0,12.87661382,0,0,0,0,0,0,0,0,12.12399893,3.179233637,0,0,1.623722357,0.725476741,0,0,1.280181283,0,3.784380194,0,0,0,0,0,0,0.507409185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594173422,0,12.29397698,0,0,2.119095984,0,0,3.798923974,0,0,2.758789683,0,0,2.5450539,3.543648708,4.129060467,0,0,11.08013757,0,0,0,0,0,1.246030206,6.061410028,0,0,0,0,0.597127602,0,0,0.474097731,0,0,0,0,9.657457587,0,0
29-Aug-97,100,0,0,12.9578769,0,0,0,0,0,0,0,0,12.11371792,3.192501915,0,0,1.594839626,0.68725719,0,0,1.296019953,0,3.666973689,0,0,0,0,0,0,0.511568764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.523219155,0,12.22067875,0,0,2.134949458,0,0,3.852990082,0,0,2.757875611,0,0,2.214903083,3.540111691,4.072190387,0,0,11.58671797,0,0,0,0,0,1.247535091,6.002253733,0,0,0,0,0.579533172,0,0,0.483518351,0,0,0,0,9.762767511,0,0
30-Sep-97,100,0,0,12.9727052,0,0,0,0,0,0,0,0,12.30151227,3.356875865,0,0,1.591179766,0.693716878,0,0,1.278895496,0,3.797559391,0,0,0,0,0,0,0.508921282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.486900862,0,12.16294977,0,0,2.15803654,0,0,3.87230473,0,0,2.234024608,0,0,2.187463467,3.511912707,4.142824984,0,0,11.90147183,0,0,0,0,0,1.249839922,5.940860866,0,0,0,0,0.571324354,0,0,0.482461054,0,0,0,0,9.596258153,0,0
