date,px_last
2025-12-25,3862.64
2025-12-26,3860.71
2025-12-28,3853.59
2025-12-29,3865.79
2025-12-30,3871.84
2026-01-01,3869.75
2026-01-02,3875.98
2026-01-04,3870.11
2026-01-05,3880.94
2026-01-06,3879.09
2026-01-08,3884.29
2026-01-09,3867.01
2026-01-11,3869.38
2026-01-12,3847.33
2026-01-13,3821.11
2026-01-15,3815.66
2026-01-16,3803.07
2026-01-18,3803.25
2026-01-19,3828.39
2026-01-21,3816.62
2026-01-22,3807.34
2026-01-23,3808.01
2026-01-25,3812.14
2026-01-26,3808.23
2026-01-28,3803.96
2026-01-29,3810.6
2026-01-30,3815.05
2026-02-01,3800.85
2026-02-02,3798.11
2026-02-04,3796.74
2026-02-05,3782.29
2026-02-06,3783.62
2026-02-08,3771.53
2026-02-09,3781.4
2026-02-11,3781.92
2026-02-12,3781.2
2026-02-13,3772.32
2026-02-15,3769.1
2026-02-16,3743.34
2026-02-18,3727.97
2026-02-19,3730.53
2026-02-20,3703.19
2026-02-22,3711.56
2026-02-23,3688.81
2026-02-25,3696.1
2026-02-26,3687.93
2026-02-27,3693.17
2026-03-01,3690.63
2026-03-02,3668.07
2026-03-04,3678.95
2026-03-05,3692.14
2026-03-06,3687.24
2026-03-08,3679.84
2026-03-09,3673.81
2026-03-11,3658.0
2026-03-12,3667.07
2026-03-13,3656.45
2026-03-15,3651.72
2026-03-16,3638.09
2026-03-18,3626.46
2026-03-19,3607.02
2026-03-20,3617.99
2026-03-22,3612.03
2026-03-23,3619.51
2026-03-25,3615.56
2026-03-26,3603.12
2026-03-27,3595.09
2026-03-29,3584.25
2026-03-30,3580.24
2026-04-01,3571.62
2026-04-02,3563.91
2026-04-04,3543.26
2026-04-05,3529.46
2026-04-06,3545.2
2026-04-08,3533.03
2026-04-09,3516.27
2026-04-11,3516.21
2026-04-12,3528.99
2026-04-13,3507.43
2026-04-15,3500.81
2026-04-16,3489.12
2026-04-18,3463.87
2026-04-19,3468.58
2026-04-20,3464.19
2026-04-22,3460.93
2026-04-23,3447.8
2026-04-25,3449.14
2026-04-26,3438.56
2026-04-27,3432.73
2026-04-29,3415.32
2026-04-30,3396.62
2026-05-02,3408.53
2026-05-03,3398.34
2026-05-04,3397.72
2026-05-06,3393.21
2026-05-07,3383.8
2026-05-09,3373.6
2026-05-10,3377.05
2026-05-11,3369.31
2026-05-13,3363.38
2026-05-14,3359.54
2026-05-16,3369.54
2026-05-17,3373.6
2026-05-18,3374.08
2026-05-20,3363.21
2026-05-21,3342.51
2026-05-23,3349.79
2026-05-24,3357.28
2026-05-25,3351.48
2026-05-27,3353.87
2026-05-28,3359.14
2026-05-30,3365.0
2026-05-31,3371.94
2026-06-01,3362.37
2026-06-03,3376.43
2026-06-04,3363.45
2026-06-06,3374.92
2026-06-07,3381.97
2026-06-08,3393.59
2026-06-10,3417.26
2026-06-11,3436.2
2026-06-13,3423.59
2026-06-14,3404.45
2026-06-16,3415.38
2026-06-17,3404.33
2026-06-18,3405.31
2026-06-20,3416.52
2026-06-21,3397.92
2026-06-23,3373.73
2026-06-24,3377.97
2026-06-25,3379.63
2026-06-27,3377.81
2026-06-28,3379.4
2026-06-30,3370.2
2026-07-01,3353.17
2026-07-02,3352.29
2026-07-04,3341.76
2026-07-05,3323.17
2026-07-07,3330.36
2026-07-08,3330.76
2026-07-09,3336.76
2026-07-11,3326.02
2026-07-12,3319.25
2026-07-14,3308.39
2026-07-15,3298.88
2026-07-16,3302.35
2026-07-18,3294.08
2026-07-19,3299.48
2026-07-21,3304.69
2026-07-22,3330.12
2026-07-23,3314.53
2026-07-25,3326.32
2026-07-26,3326.37
2026-07-28,3327.33
2026-07-29,3311.06
2026-07-30,3306.67
2026-08-01,3316.71
2026-08-02,3316.85
2026-08-04,3318.95
2026-08-05,3316.59
2026-08-06,3331.58
2026-08-08,3332.45
2026-08-09,3307.17
2026-08-11,3299.99
2026-08-12,3277.49
2026-08-13,3239.61
2026-08-15,3234.37
2026-08-16,3251.5
2026-08-18,3253.2
2026-08-19,3240.25
2026-08-20,3230.09
2026-08-22,3244.79
2026-08-23,3247.81
2026-08-25,3249.51
2026-08-26,3250.0
